 14:24:01 up 50 min,  1 user,  load average: 1,70, 1,30, 0,93
 14:24:02 up 50 min,  1 user,  load average: 1,70, 1,30, 0,93
 14:24:03 up 50 min,  1 user,  load average: 1,65, 1,29, 0,93
 14:24:04 up 50 min,  1 user,  load average: 1,65, 1,29, 0,93
 14:24:05 up 50 min,  1 user,  load average: 1,65, 1,29, 0,93
 14:24:06 up 50 min,  1 user,  load average: 1,65, 1,29, 0,93
 14:24:07 up 50 min,  1 user,  load average: 1,65, 1,29, 0,93
 14:24:08 up 50 min,  1 user,  load average: 1,59, 1,29, 0,93
 14:24:09 up 50 min,  1 user,  load average: 1,59, 1,29, 0,93
 14:24:10 up 50 min,  1 user,  load average: 1,59, 1,29, 0,93
 14:24:11 up 50 min,  1 user,  load average: 1,59, 1,29, 0,93
 14:24:12 up 50 min,  1 user,  load average: 1,59, 1,29, 0,93
 14:24:13 up 50 min,  1 user,  load average: 1,55, 1,28, 0,93
 14:24:14 up 50 min,  1 user,  load average: 1,55, 1,28, 0,93
 14:24:15 up 50 min,  1 user,  load average: 1,55, 1,28, 0,93
 14:24:16 up 50 min,  1 user,  load average: 1,55, 1,28, 0,93
 14:24:17 up 50 min,  1 user,  load average: 1,55, 1,28, 0,93
 14:24:18 up 50 min,  1 user,  load average: 1,50, 1,28, 0,93
 14:24:19 up 50 min,  1 user,  load average: 1,50, 1,28, 0,93
 14:24:20 up 50 min,  1 user,  load average: 1,50, 1,28, 0,93
 14:24:21 up 50 min,  1 user,  load average: 1,50, 1,28, 0,93
 14:24:22 up 51 min,  1 user,  load average: 1,50, 1,28, 0,93
 14:24:23 up 51 min,  1 user,  load average: 1,46, 1,27, 0,93
 14:24:24 up 51 min,  1 user,  load average: 1,46, 1,27, 0,93
 14:24:25 up 51 min,  1 user,  load average: 1,46, 1,27, 0,93
 14:24:26 up 51 min,  1 user,  load average: 1,46, 1,27, 0,93
 14:24:27 up 51 min,  1 user,  load average: 1,46, 1,27, 0,93
 14:24:28 up 51 min,  1 user,  load average: 1,43, 1,27, 0,93
 14:24:29 up 51 min,  1 user,  load average: 1,43, 1,27, 0,93
 14:24:30 up 51 min,  1 user,  load average: 1,43, 1,27, 0,93
 14:24:31 up 51 min,  1 user,  load average: 1,43, 1,27, 0,93
 14:24:32 up 51 min,  1 user,  load average: 1,43, 1,27, 0,93
 14:24:33 up 51 min,  1 user,  load average: 1,39, 1,26, 0,93
 14:24:34 up 51 min,  1 user,  load average: 1,39, 1,26, 0,93
 14:24:35 up 51 min,  1 user,  load average: 1,39, 1,26, 0,93
 14:24:36 up 51 min,  1 user,  load average: 1,39, 1,26, 0,93
 14:24:37 up 51 min,  1 user,  load average: 1,39, 1,26, 0,93
 14:24:38 up 51 min,  1 user,  load average: 1,44, 1,27, 0,94
 14:24:39 up 51 min,  1 user,  load average: 1,44, 1,27, 0,94
 14:24:40 up 51 min,  1 user,  load average: 1,44, 1,27, 0,94
 14:24:41 up 51 min,  1 user,  load average: 1,44, 1,27, 0,94
 14:24:42 up 51 min,  1 user,  load average: 1,44, 1,27, 0,94
 14:24:43 up 51 min,  1 user,  load average: 1,48, 1,29, 0,94
 14:24:44 up 51 min,  1 user,  load average: 1,48, 1,29, 0,94
 14:24:45 up 51 min,  1 user,  load average: 1,48, 1,29, 0,94
 14:24:46 up 51 min,  1 user,  load average: 1,48, 1,29, 0,94
 14:24:47 up 51 min,  1 user,  load average: 1,48, 1,29, 0,94
