 14:12:51 up 39 min,  1 user,  load average: 0,53, 0,81, 0,69
 14:12:52 up 39 min,  1 user,  load average: 0,64, 0,83, 0,70
 14:12:53 up 39 min,  1 user,  load average: 0,64, 0,83, 0,70
 14:12:54 up 39 min,  1 user,  load average: 0,64, 0,83, 0,70
 14:12:55 up 39 min,  1 user,  load average: 0,64, 0,83, 0,70
 14:12:56 up 39 min,  1 user,  load average: 0,64, 0,83, 0,70
 14:12:57 up 39 min,  1 user,  load average: 0,75, 0,85, 0,70
 14:12:58 up 39 min,  1 user,  load average: 0,75, 0,85, 0,70
 14:12:59 up 39 min,  1 user,  load average: 0,75, 0,85, 0,70
 14:13:00 up 39 min,  1 user,  load average: 0,75, 0,85, 0,70
 14:13:01 up 39 min,  1 user,  load average: 0,75, 0,85, 0,70
 14:13:02 up 39 min,  1 user,  load average: 0,69, 0,84, 0,70
 14:13:03 up 39 min,  1 user,  load average: 0,69, 0,84, 0,70
 14:13:04 up 39 min,  1 user,  load average: 0,69, 0,84, 0,70
 14:13:05 up 39 min,  1 user,  load average: 0,69, 0,84, 0,70
 14:13:06 up 39 min,  1 user,  load average: 0,69, 0,84, 0,70
 14:13:07 up 39 min,  1 user,  load average: 0,72, 0,84, 0,70
 14:13:08 up 39 min,  1 user,  load average: 0,72, 0,84, 0,70
 14:13:09 up 39 min,  1 user,  load average: 0,72, 0,84, 0,70
 14:13:10 up 39 min,  1 user,  load average: 0,72, 0,84, 0,70
 14:13:11 up 39 min,  1 user,  load average: 0,72, 0,84, 0,70
 14:13:12 up 39 min,  1 user,  load average: 0,66, 0,83, 0,70
 14:13:13 up 39 min,  1 user,  load average: 0,66, 0,83, 0,70
 14:13:14 up 39 min,  1 user,  load average: 0,66, 0,83, 0,70
 14:13:15 up 39 min,  1 user,  load average: 0,66, 0,83, 0,70
 14:13:16 up 39 min,  1 user,  load average: 0,66, 0,83, 0,70
 14:13:17 up 39 min,  1 user,  load average: 0,69, 0,83, 0,70
 14:13:18 up 39 min,  1 user,  load average: 0,69, 0,83, 0,70
 14:13:19 up 39 min,  1 user,  load average: 0,69, 0,83, 0,70
 14:13:20 up 39 min,  1 user,  load average: 0,69, 0,83, 0,70
 14:13:21 up 39 min,  1 user,  load average: 0,69, 0,83, 0,70
 14:13:22 up 40 min,  1 user,  load average: 0,71, 0,83, 0,70
 14:13:23 up 40 min,  1 user,  load average: 0,71, 0,83, 0,70
 14:13:24 up 40 min,  1 user,  load average: 0,71, 0,83, 0,70
 14:13:25 up 40 min,  1 user,  load average: 0,71, 0,83, 0,70
 14:13:26 up 40 min,  1 user,  load average: 0,71, 0,83, 0,70
 14:13:27 up 40 min,  1 user,  load average: 0,74, 0,83, 0,70
 14:13:28 up 40 min,  1 user,  load average: 0,74, 0,83, 0,70
 14:13:29 up 40 min,  1 user,  load average: 0,74, 0,83, 0,70
 14:13:30 up 40 min,  1 user,  load average: 0,74, 0,83, 0,70
 14:13:31 up 40 min,  1 user,  load average: 0,74, 0,83, 0,70
 14:13:32 up 40 min,  1 user,  load average: 0,76, 0,84, 0,71
 14:13:33 up 40 min,  1 user,  load average: 0,76, 0,84, 0,71
 14:13:34 up 40 min,  1 user,  load average: 0,76, 0,84, 0,71
 14:13:35 up 40 min,  1 user,  load average: 0,76, 0,84, 0,71
 14:13:36 up 40 min,  1 user,  load average: 0,76, 0,84, 0,71
 14:13:37 up 40 min,  1 user,  load average: 0,78, 0,84, 0,71
 14:13:38 up 40 min,  1 user,  load average: 0,78, 0,84, 0,71
 14:13:39 up 40 min,  1 user,  load average: 0,78, 0,84, 0,71
 14:13:40 up 40 min,  1 user,  load average: 0,78, 0,84, 0,71
 14:13:41 up 40 min,  1 user,  load average: 0,78, 0,84, 0,71
 14:13:42 up 40 min,  1 user,  load average: 0,79, 0,84, 0,71
 14:13:43 up 40 min,  1 user,  load average: 0,79, 0,84, 0,71
 14:13:44 up 40 min,  1 user,  load average: 0,79, 0,84, 0,71
 14:13:45 up 40 min,  1 user,  load average: 0,79, 0,84, 0,71
 14:13:46 up 40 min,  1 user,  load average: 0,79, 0,84, 0,71
 14:13:47 up 40 min,  1 user,  load average: 0,81, 0,85, 0,71
 14:13:48 up 40 min,  1 user,  load average: 0,81, 0,85, 0,71
 14:13:49 up 40 min,  1 user,  load average: 0,81, 0,85, 0,71
 14:13:50 up 40 min,  1 user,  load average: 0,81, 0,85, 0,71
 14:13:51 up 40 min,  1 user,  load average: 0,81, 0,85, 0,71
 14:13:52 up 40 min,  1 user,  load average: 0,83, 0,85, 0,71
 14:13:53 up 40 min,  1 user,  load average: 0,83, 0,85, 0,71
 14:13:54 up 40 min,  1 user,  load average: 0,83, 0,85, 0,71
 14:13:55 up 40 min,  1 user,  load average: 0,83, 0,85, 0,71
 14:13:56 up 40 min,  1 user,  load average: 0,83, 0,85, 0,71
 14:13:57 up 40 min,  1 user,  load average: 0,76, 0,84, 0,71
 14:13:58 up 40 min,  1 user,  load average: 0,76, 0,84, 0,71
 14:13:59 up 40 min,  1 user,  load average: 0,76, 0,84, 0,71
 14:14:00 up 40 min,  1 user,  load average: 0,76, 0,84, 0,71
 14:14:01 up 40 min,  1 user,  load average: 0,76, 0,84, 0,71
 14:14:02 up 40 min,  1 user,  load average: 0,70, 0,82, 0,71
 14:14:03 up 40 min,  1 user,  load average: 0,70, 0,82, 0,71
 14:14:04 up 40 min,  1 user,  load average: 0,70, 0,82, 0,71
